propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,parkingSpace,newDevelopmentFinished
94477419,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/53/9a/65/889949483.jpg,60190176,2,1,114000.0,flat,sale,53.0,False,1,1,"Calle de Cáceres, 7",Madrid,Madrid,Arganzuela,es,Delicias,40.3982796,-3.6952302,True,https://www.idealista.com/inmueble/94477419/,1872,False,good,False,False,2151.0,{'typology': 'flat'},"{'subtitle': 'Delicias, Madrid', 'title': 'Piso en Calle de Cáceres, 7'}",False,False,False,False,False,,
94477330,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/e2/0c/889947745.jpg,NOVAL ÁNGEL,42,1,319000.0,flat,sale,97.0,True,5,1,Plaza de Puerta del Ángel,Madrid,Madrid,Latina,es,Puerta del Ángel,40.4150301,-3.7279901,False,https://www.idealista.com/inmueble/94477330/,2336,False,good,False,True,3289.0,{'typology': 'flat'},"{'subtitle': 'Puerta del Ángel, Madrid', 'title': 'Piso en Plaza de Puerta del Ángel'}",False,False,False,False,False,,
94477212,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/54/9f/889943840.jpg,LORE-0767,10,2,496000.0,flat,sale,130.0,False,2,1,Calle del Noviciado,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4269522,-3.7089313,False,https://www.idealista.com/inmueble/94477212/,1546,False,good,False,False,3815.0,{'typology': 'flat'},"{'subtitle': 'Malasaña-Universidad, Madrid', 'title': 'Piso en Calle del Noviciado'}",False,False,False,False,False,,
82312915,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/ae/60/634629133.jpg,ch-422800,40,3,1340000.0,flat,sale,183.0,True,4,4,barrio El Viso,Madrid,Madrid,Chamartín,es,El Viso,40.4508786,-3.6858267,False,https://www.idealista.com/inmueble/82312915/,4212,False,good,False,True,7322.0,{'typology': 'flat'},"{'subtitle': 'El Viso, Madrid', 'title': 'Piso'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94476388,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/3a/b8/889919457.jpg,CHAMBERI 3,2,bj,290000.0,flat,sale,60.0,False,2,1,barrio Nuevos Ministerios-Ríos Rosas,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4372881,-3.698763,False,https://www.idealista.com/inmueble/94476388/,2520,False,good,False,True,4833.0,{'typology': 'flat'},"{'subtitle': 'Nuevos Ministerios-Ríos Rosas, Madrid', 'title': 'Piso'}",True,False,False,False,False,,
94476385,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/fe/81/889919149.jpg,CHAMBERI,33,1,700000.0,flat,sale,220.0,True,3,2,Calle de Cea Bermúdez,Madrid,Madrid,Chamberí,es,Gaztambide,40.43964,-3.7136753,False,https://www.idealista.com/inmueble/94476385/,2997,False,good,False,True,3182.0,{'typology': 'flat'},"{'subtitle': 'Gaztambide, Madrid', 'title': 'Piso en Calle de Cea Bermúdez'}",False,False,False,False,False,,
94476362,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dc/2c/2f/889918662.jpg,J-18,23,4,191900.0,flat,sale,73.0,True,3,1,"Calle del Corregidor Juan de Bobadilla, 22",Madrid,Madrid,Moratalaz,es,Vinateros,40.4076864,-3.641863,True,https://www.idealista.com/inmueble/94476362/,5015,False,good,False,False,2629.0,{'typology': 'flat'},"{'subtitle': 'Vinateros, Madrid', 'title': 'Piso en Calle del Corregidor Juan de Bobadilla, 22'}",False,False,False,False,False,,
94476356,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/68/c0/889918817.jpg,MAUDES,38,3,920000.0,flat,sale,240.0,True,5,4,Calle de Raimundo Fernández Villaverde,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4450395,-3.7027821,False,https://www.idealista.com/inmueble/94476356/,3385,False,good,False,True,3833.0,{'typology': 'flat'},"{'subtitle': 'Nuevos Ministerios-Ríos Rosas, Madrid', 'title': 'Piso en Calle de Raimundo Fernández Villaverde'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94476331,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/e0/a0/889918477.jpg,TERUEL,7,2,300000.0,flat,sale,78.0,False,3,1,teruel,Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.4518732,-3.6987475,False,https://www.idealista.com/inmueble/94476331/,4141,False,renew,False,True,3846.0,{'typology': 'flat'},"{'subtitle': 'Cuatro Caminos, Madrid', 'title': 'Piso en teruel'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94476018,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b3/01/00/889911857.jpg,,36,7,950000.0,flat,sale,221.0,True,5,3,"Calle del General Ampudia, 2",Madrid,Madrid,Chamberí,es,Vallehermoso,40.4419454,-3.7144746,True,https://www.idealista.com/inmueble/94476018/,3260,True,renew,False,True,4299.0,{'typology': 'flat'},"{'subtitle': 'Vallehermoso, Madrid', 'title': 'Piso en Calle del General Ampudia, 2'}",True,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 25000.0}",
94471408,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/0d/55/889905129.jpg,Estudio San Isidro,46,bj,75000.0,studio,sale,31.0,False,0,1,Calle Soldado José María Rey,Madrid,Madrid,Carabanchel,es,San Isidro,40.3930022,-3.7342769,False,https://www.idealista.com/inmueble/94471408/,3744,True,good,False,False,2419.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'San Isidro, Madrid', 'title': 'Estudio en Calle Soldado José María Rey'}",True,False,False,False,False,,
91337238,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/bf/6e/812262477.jpg,RP209202075312,45,3,319000.0,flat,sale,115.0,True,4,2,Calle de Ocaña,Madrid,Madrid,Latina,es,Aluche,40.3871937,-3.7549192,False,https://www.idealista.com/inmueble/91337238/,5534,False,good,False,True,2774.0,{'typology': 'flat'},"{'subtitle': 'Aluche, Madrid', 'title': 'Piso en Calle de Ocaña'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94475502,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/61/6d/15/889895609.jpg,RP179202186158,19,2,340000.0,flat,sale,74.0,False,3,1,Calle de Alfonso XII,Madrid,Madrid,Retiro,es,Jerónimos,40.4093359,-3.6900774,False,https://www.idealista.com/inmueble/94475502/,1054,False,renew,False,True,4595.0,{'typology': 'flat'},"{'subtitle': 'Jerónimos, Madrid', 'title': 'Piso en Calle de Alfonso XII'}",False,False,False,False,False,,
